MP_URL,accessibleAt_status,checked_URLs,persistentId
https://marketplace.sshopencloud.eu/tool-or-service/V27aUY,403.0,"['https://www.biblindex.org/en', 'https://www.biblindex.org/en/quotations/search']",V27aUY
https://marketplace.sshopencloud.eu/tool-or-service/vGzMZt,503.0,['https://bibliotecacomum.pt/projeto/'],vGzMZt
https://marketplace.sshopencloud.eu/tool-or-service/inheKA,,[],inheKA
https://marketplace.sshopencloud.eu/tool-or-service/Aj3Z9L,,[],Aj3Z9L
https://marketplace.sshopencloud.eu/tool-or-service/jKiOXX,,[],jKiOXX
https://marketplace.sshopencloud.eu/tool-or-service/74qgFm,503.0,['https://surveyweb2.ucsur.pitt.edu/qblog/page_login.php'],74qgFm
https://marketplace.sshopencloud.eu/tool-or-service/H6vqJr,,[],H6vqJr
https://marketplace.sshopencloud.eu/tool-or-service/Kfm9H2,,[],Kfm9H2
https://marketplace.sshopencloud.eu/tool-or-service/ZvfBNa,,[],ZvfBNa
https://marketplace.sshopencloud.eu/tool-or-service/6lIN1I,,[],6lIN1I
https://marketplace.sshopencloud.eu/tool-or-service/9m1n4c,408.0,['http://bookworm.culturomics.org/'],9m1n4c
https://marketplace.sshopencloud.eu/tool-or-service/bHHXBB,,[],bHHXBB
https://marketplace.sshopencloud.eu/tool-or-service/A7QSay,,[],A7QSay
https://marketplace.sshopencloud.eu/tool-or-service/xePBoI,500.0,['https://btb-wn.webclark.org/index-EN.html'],xePBoI
https://marketplace.sshopencloud.eu/tool-or-service/CRETFA,,[],CRETFA
https://marketplace.sshopencloud.eu/tool-or-service/c1J23E,408.0,['http://hdl.handle.net/11858/00-203C-0000-0023-21BB-3'],c1J23E
https://marketplace.sshopencloud.eu/tool-or-service/Y2UzT9,404.0,['https://infoclio.ch/en/events_view'],Y2UzT9
https://marketplace.sshopencloud.eu/tool-or-service/kESkg7,403.0,['https://tulengua.iatext.ulpgc.es/neologismos'],kESkg7
https://marketplace.sshopencloud.eu/tool-or-service/2IsPUP,,[],2IsPUP
https://marketplace.sshopencloud.eu/tool-or-service/t7hOZv,,[],t7hOZv
https://marketplace.sshopencloud.eu/tool-or-service/B51xcr,,[],B51xcr
